25,9254,19142,3366,2470,7801,6540,1
25,9228,19168,3507,2368,7859,6566,1
19,9209,19200,3564,2208,7852,6566,1
19,9190,19264,3750,2195,7872,6553,1
12,9164,19296,3865,2150,7827,6528,1
6,9145,19321,3968,2214,7859,6508,1
6,9152,19334,4051,2259,7820,6489,1
6,9177,19353,4064,2259,7808,6470,1
12,9203,19366,4102,2291,7833,6464,1
12,9235,19385,4089,2259,7827,6464,1
12,9273,19417,4089,2259,7891,6457,1
12,9305,19436,4076,2252,7852,6438,1
12,9324,19462,4108,2329,7872,6464,1
19,9350,19481,4102,2297,7891,6489,1
19,9376,19507,4128,2310,7878,6515,1
19,9401,19526,4140,2284,7833,6534,1
12,9420,19558,4147,2284,7904,6547,1
19,9376,19564,3980,2323,7865,6553,1
12,9331,19558,3731,2387,7859,6572,1
19,9254,19552,3430,2457,7884,6579,1
19,9184,19539,3072,2540,7827,6604,1
19,9139,19500,2777,2560,7865,6643,1
25,9100,19443,2470,2579,7872,6675,1
19,9056,19379,2150,2604,7801,6713,1
19,9017,19321,1843,2585,7865,6739,1
19,8985,19270,1561,2592,7923,6771,1
19,8966,19232,1286,2496,7884,6809,1
12,9004,19219,1273,2342,7859,6848,1
12,9049,19232,1248,2150,7872,6873,1
12,9120,19225,1382,2009,7910,6905,1
12,9190,19200,1516,1817,7904,6924,1
12,9235,19238,1619,1721,7891,6937,1
12,9267,19276,1638,1580,7929,6944,1
19,9280,19308,1817,1580,7948,6944,1
19,9286,19328,1964,1529,7942,6944,1
19,9299,19347,2105,1491,7878,6937,1
19,9280,19366,2259,1542,7904,6924,1
19,9235,19366,2342,1632,7942,6918,1
19,9152,19334,2476,1702,7916,6899,1
12,9145,19340,2432,1664,7891,6880,1
19,9164,19372,2374,1670,7891,6873,1
25,9171,19379,2374,1651,7904,6867,1
25,9177,19398,2451,1632,7884,6867,1
19,9190,19430,2483,1529,7897,6873,1
19,9196,19475,2515,1504,7910,6873,1
25,9196,19513,2553,1497,7916,6880,1
25,9209,19500,2521,1484,7904,6886,1
25,9254,19507,2432,1420,7929,6892,1
32,9318,19513,2444,1388,7897,6899,1
38,9273,19494,2598,1593,7904,6886,1
32,9216,19488,2828,1804,7936,6854,1
25,9184,19481,2931,1971,7955,6828,1
25,9158,19475,3084,2169,7942,6803,1
25,9152,19462,3091,2304,7948,6777,1
25,9152,19449,3123,2476,7929,6758,1
25,9152,19436,3129,2611,7884,6739,1
32,9152,19462,3187,2732,7904,6720,1
38,9152,19475,3296,2860,7923,6700,1
38,9171,19513,3334,3001,7923,6694,1
32,9222,19552,3340,2982,7916,6707,1
